canonical_id,canonical_name,variant_name,root,lang,meaning_en,meaning_ja,confidence,relation,reasoning,similarity_candidates,error
fallback_6e6f5bf6,Igarapé Pequeno,Igarapé Pequeno,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,0,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
fallback_7bdf292c,Rio Grande,Rio Grande,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,0,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
fallback_cfe827ec,Lagoa Azul,Lagoa Azul,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,0,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
fallback_69dcb752,Igarapé Pequeno,Igarapé Pequeno,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,3,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
fallback_5bb601e8,Rio Grande,Rio Grande,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,3,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
fallback_b2660968,Lagoa Azul,Lagoa Azul,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,3,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}"
fallback_23313dbc,Igarapé Pequeno,Igarapé Pequeno,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,3,"Error code: 400 - {'error': {'message': ""Missing required parameter: 'functions[0].name'."", 'type': 'invalid_request_error', 'param': 'functions[0].name', 'code': 'missing_required_parameter'}}"
fallback_dde932e5,Rio Grande,Rio Grande,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,3,"Error code: 400 - {'error': {'message': ""Missing required parameter: 'functions[0].name'."", 'type': 'invalid_request_error', 'param': 'functions[0].name', 'code': 'missing_required_parameter'}}"
fallback_3effe000,Lagoa Azul,Lagoa Azul,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリー）,0.1,different,LLM analysis failed - created fallback entry,3,"Error code: 400 - {'error': {'message': ""Missing required parameter: 'functions[0].name'."", 'type': 'invalid_request_error', 'param': 'functions[0].name', 'code': 'missing_required_parameter'}}"
lagoa_azul,Lagoa Azul,Lagoa Azul,lagoa,por,Blue Lagoon,青い湖,0.1,different,"Lagoa Azul is a Portuguese term meaning 'Blue Lagoon'. The term 'lagoa' indicates a lake or lagoon, which is consistent with water-related toponyms. However, the low confidence score (0.1) suggests that there are no significant phonetic similarities or historical connections with the other candidates. The other candidates do not share the same root or linguistic characteristics, indicating they are distinct entities.",3,
Igarapé Pequeno,Igarapé Pequeno,Igarapé Pequeno,igarapé,tup,Small stream,小さな小川,0.9,same,"Igarapé Pequeno is a direct reference to a small stream in Portuguese, where 'Igarapé' is derived from the Tupi language meaning 'small stream'. The similarity in name and meaning indicates a strong connection, confirming it as the same toponym.",3,
1,Rio Grande,Rio Grande,unknown,unknown,Unknown (fallback entry),不明（フォールバックエントリ）,0.1,different,"The toponym 'Rio Grande' does not exhibit phonetic similarity or shared roots with the provided candidates. The candidates 'Lagoa Azul' and 'Igarapé Pequeno' contain distinct water-related roots (lagoa and igarapé, respectively), while 'Rio Grande' is a generic term for 'Big River' in Portuguese. Additionally, the low confidence score indicates a lack of significant relation, and there is no historical or geographical context linking these names.",3,
